index,text
1," LDAP, Linux, McAfee, Exchange, Microsoft Office,
Microsoft Windows, security, policies, PowerShell, programming, proxy server, servers, scripts, SolarWinds, SQL, 
StorSimple, troubleshooting,
TMG, 
Ubuntu, Visual Basic Script, VBS, 
Veritas Netbackup, VPN, VRanger, Veeam, VMWare, VDI, virtual manchine, NMap, ZenMap."
2,"INFORMATION TECHNOLOGY MANAGER
Professional Summary
Possesses an extensive background in Information Technology Management, along with a Masters of Science degree and multiple certifications.
Excels in planning, implementing, and evaluating the systems, infrastructure, and staffing necessary to execute complex initiatives and meet
deadlines in dynamic, fast-paced environments; adept at overseeing and participating in the installation, configuration, maintenance, and upgrade of
networks, hardware, servers, and peripherals. 
Detail-oriented and decisive; applies communication and leadership skills to interface effectively with
all levels of an organization. 
Expertise spans: 
Network Engineering, Helpdesk Administration, Software Licensing, Disaster Recovery,
Backup/Restore 
Operations/Proje"
2,"ct Management, Strategic Planning/Analysis, Budgeting, TeamBuilding/Training, Vendor Relations
Policy/Procedure Development, Quality Assurance, Troubleshooting, Problem Solving, Process Improvement.
Experience
04/2013
 
to 
Current
Information Technology Manager
 
Company Name
 
ï¼​ 
City
 
, 
State
A bankruptcy Trustee office handling Chapter 13 and Chapter 12 cases for the Northern District of Georgia Manages application
database/hardware systems used to track Chapter 13 bankruptcy cases, all office technologies,, information systems, and anti-spam/anti-
virus servers.
Evaluates, recommends, implements, supports, and troubleshoots hardware and software.
Maintains LAN/WAN infrastructure, connectivity, and security as well as LAN user documentation.
Performs disaster recovery planning.
Adm"
2,"inisters licenses and service contracts; schedules service visits from vendors and suppliers.
Defines, documents, assesses, and updates IT-related procedures as needed.
Creates and maintains user accounts, including email.
Inspects all employees' computers quarterly to ensure compliance of configuration and settings with office policies.
Coordinates special projects.
Designed and implemented network infrastructure enhancements to improve performance, security, remote access, and connectivity.
Standardized hardware, peripherals, and software.
Established a helpdesk support system for monitoring, prioritizing, and scheduling requests.
Spearheaded the deployment of a new tracking system that provided performance metrics used to identify where additional training and
resources were required.
R"
2,"esearched, installed, and configured an enterprise backup solution for disaster recovery that included features to allow users to recover
deleted items without the need to recover from DR backups.
Doubled WAN bandwidth and propelled LAN and WLAN performance to 100% or higher through WAN, LAN, and WLAN
reconfiguration.
Improved accuracy, more than doubled efficiency from 35% to 87%, and increased cost savings from $250/quarter to $2,500/quarter by
developing an automated script for retrieving data from an outside server.
Automated asset tracking by employing a hand scanner and database system to improve efficiency and accuracy.
08/1987
 
to 
06/2012
Network Analyst
 
Company Name
 
ï¼​ 
City
 
, 
State
A $1B+ global manufacturer of equipment for precision material dispensing, testing, inspe"
2,"ction, surface preparation, and curing Fueled a
1,000% improvement in LAN performance by replacing the existing network, which entailed changing software and LAN cabling for 20
existing switches, including reconfiguring the core switch with remote wiring closets with multiple stack units.
Led a team of five network and equipment support specialists.Configured, maintained, analyzed, and troubleshot Nortel and Juniper
networks, systems, and equipment (WAN/LAN/WLAN infrastructure, servers, PCs, notebooks, thin clients, printers, and other
peripherals) used by 600 workers in Georgia.Supported 200 units configured for operation through client servers.Advanced global
company objectives through participation in IT and telecom design and implementation.Advanced to this role through promotions from"
2,"
Mechanical Drafter, Engineering Checker, Mechanical Designer, and Network Administrator.Slashed support requests 75%, cut equipment
costs 50%, and boosted work productivity 30% by applying near-zero configuration to develop, install, and implement a thin client solution
for 90 plant manufacturing cells.
Reduced standard company imaging and system deployment time 60% before station-specific customization by replacing and/or refreshing
40 PCs each quarter, 100% on schedule.
Planned, designed, installed, configured, and tested wireless networks (WLAN from Cisco, Nortel, and Meraki) in multiple facilities;
documented standards for US operations; trained users; and monitored performance.
Replaced 125 field and service laptops by programming standard images and custom configurations on each mac"
2,"hine, completing the six-
week project on schedule despite disruption of parts availability due to a tsunami.
Championed the use of computers in manufacturing cells to provide drawings and also facilitate order tracking in conjunction with the ERP
system; designed and implemented automated pick list and shipping documents as well as real-time tracking for distribution.
Trained and mentored 15 new department staff members and contractors.
02/1753
Designer/Drafter 
Company Name
 
ï¼​ 
City
 
, 
State
Plant Manager/Quality Control Manager
 
Company Name
 
ï¼​ 
City
 
, 
State
Drafter
 
Company Name
 
ï¼​ 
City
 
, 
State
Accomplishments
Microsoft Word/Excel/Access/Outlook/PowerPoint/Visio/Publisher/Project, Apple Pages, Numbers, Keynote, Autodesk, AutoCAD,Microsoft Word/Excel/Access/Outlook/P"
2,"owerPoint/Visio/Publisher/Project, Apple Pages, Numbers, Keynote, Autodesk, AutoCAD,
SolidWorks, SAP r3 Operating Systems: Microsoft SQL, Microsoft Exchange, SCCM, DOS 6.22, Windows 3.1-Windows 10, Windows
NT 3.5 Server, Windows Server 2012, OSX 10.2-10.11, IOS Hardware and WLAN: Nortel, Mitel, Shortel, Cisco, Meraki, Apple
AirPort, Palo Alto-Firewall, Sonicwall Firewall Peripherals: Barracuda Web Filter, Barracuda Message Archiver, Riverbed-WAN
Accelerator, Dell ISCSI SAN Installation and Configuration: Dell PowerVault, Adtran Routers, Cisco Routers, Catalyst Switches, HP
Procurve Switches, ICC Patch Panels, Cross Connects, Cat3-6A (Phone and Data)
Education
Master of Science
 
: 
Leadership
 
Walden University
 
ï¼​ 
City
 
, 
State
2015
Master of Science
 
: 
Information Systems Managem"
2,"ent Project Management
 
Walden University
 
ï¼​ 
City
 
, 
State
2013
Bachelor of Science
 
: 
Information Systems Management Mechanical Engineering
 
Walden University
 
ï¼​ 
City
 
, 
State
Certifications
MCP, Â CompTIA Network+, CompTIA A+
Skills
anti-virus, backup, cabling, Cisco, hardware, contracts, client, clients, database, disaster recovery planning, disaster recovery, email, ERP,
features, imaging, information systems, inspection, Inspects, LAN, notebooks, laptops, Mechanical, access, office, enterprise, Network
Administrator, network, networks, Nortel, peripherals, pick, policies, printers, programming, real-time, scanner, scheduling, servers, script,
shipping, switches, switch, user documentation, telecom, WAN, wiring"
3,"WORKING RF SYSTEMS ENGINEER
Qualifications
Microsoft office/Office for Mac, pages, numbers, keynote Â· RF/Microwave software: Ansoft Designer, AWR Microwave Office. Â· RF test
instruments: Spectrum analyzer, Vector Network/Signal Analyzer, Logic Analyzer, etc. Â· Programming language: C/C++, Python, Java,
Matlab, and LabView Â· Circuit design software: SPICE, NI Multisim Â· PCB design software: Eagle, PCB Artiest
Experience
Working 
RF Systems Engineer
 
May 2014
 
to 
Current
 
Company Name
Qualification 
Â· Multidisciplinary background: RF hardware designs, manufacturing operations and data analyst.
Summary 
Â· Experienced in developing hardware's DFM procedures, checklists and requirements to subcontractors Â· Perform EVT,
DVT, PVT verifications and utilize FA process to drive root caus"
3,"e from system to unit level Â· Team leader on multiple end-to-end
technical project design, development, testing and validation Â· Manage Test/Production readiness reviews and drives quality requirement
for post-ramp qualification Â· Ability to manage multiple projects simultaneously, self-starter with innovation and sharp attention to details
Experiences 
- New RF systems introduction on satellite communication architecture designs and proposals - Define RF hardware unit DFM
procedures and requirements for Antenna, receivers, filters, and amplifiers - Lead suppliers by providing technical design specifications and
testing requirements to meet SSL standards - Utilize FA process to monitor overall project field performance.
Audits and DFM reviews on-site with suppliers - Investigated the al"
3,"gorithm to optimize the overall RF system performance for design,
manufacturing and testing - Perform EVT, DVT and PVT validations and quality measurements for satellite assembly at system and unit
levels - Drive and track closure on any RF components and modules NCs and issues impact to production readiness - Work with cross-
functional teams to execute completion of satellite system design to fulfill contract requirement - Generate cascade RF performance
prediction analyses (i.e.
NF, Gain, IP3, 1dB-Comp, spurious, etc) - Exercises independent judgment in developing methods, techniques, and evaluation criterion for
obtaining results - Monitor and measure manufacturing processes to reduce losses, decrease time span and improve quality.
System Data Analyst
 
August 2011
 
to 
December 2013
"
3," 
Company Name
Prioritize and extract big data from Purdue University's SQL database and maintain its accuracy and completeness - Develop and
implement data collection systems strategies that optimize statistical efficiency and data quality - Data manipulation language SQL
commands and utilize statistical tools including Excel, SAS, and SPSS.
Create complex charts and temporarily databases, perform data mining, and develop pivot tables for publication - Design and customize
reports based upon data structure and determine additional data collection requirements - Provide documentation based on audit and report
criteria to investigators and research staff - Serve as a resource for non-routine inquiries such as requests for statistics or surveys.
Electrical/Validation Engineer
 
May 2011
 
to"
3," 
August 2011
 
Company Name
Develop and maintain data requirement for PCBA EVT, DVT, and PVT assembly for touch-pads - Design and implement automated test
for sensitivity, packrat, hovering, profiles, ripple, GSM, EMI, and ESD - Monitor manufacturer IC packaging test yields and field return
failure data to identify root cause - Develop in-depth reliability testing procedures: storage, thermal stock, drop and tap tests - Perform
debug and troubleshooting of product in house and at contract manufacturer site for support - Contribute in manufacturing diagnostic
reviews to improve overall debug process more efficiently and effectively - Support internal and external customer related to lab data
collection and verification of an application issue.
Education
M.S
 
: 
Electrical and Computer Eng"
3,"ineering
 
, 
Dec. 2013
 
PURDUE UNIVERSITY
 
GPA: 
GPA: 3.9/4.0
 
Electrical and Computer Engineering GPA:
3.9/4.0
B.S
 
: 
Electrical and Computer Engineering
 
, 
Dec. 2011
 
GPA: 
GPA: 3.2/4.0
 
Electrical and Computer Engineering GPA: 3.2/4.0 Thesis 
The Design
and Evaluation of a 5.8 GHz Laptop-Based Radar System Publication 
Â· Innovative laptop radar design to operate in both FMCW and CW
mode Â· Doppler shift (DTI), ranging (RTI), and SAR measurement capability Â· Operate in ISM frequency band with +13dBm transmitting
power Â· Data acquisition and signal processing using Matlab
Skills
big data, C, C++, charts, Circuit design, hardware, Data acquisition, data analyst, data collection, data mining, databases, database, dBm, DTI,
design software, documentation, functional, GSM, innova"
3,"tion, Java, LabView, Team leader, Logic Analyzer, Mac, manufacturing processes,
Matlab, Excel, Microsoft office, Office, Microwave, Radar, NCs, Network, dB, packaging, pivot tables, Programming, project design, proposals,
Publication, Python, quality, requirement, research, SAS, self-starter, Spectrum analyzer, SPSS, SQL, SSL, statistics, surveys, system design,
troubleshooting, validation"
4,"INFORMATION TECHNOLOGY MANAGER
Summary
Dedicated 
IT Manager
 
well-versed in analyzing and mitigating risk and finding cost-effective solutions. Excels at boosting performance and
productivity by establishing realistic goals and enforcing deadlines.
Highlights
Operations management
Project trackingÂ 
Performance criteria tracking
Waterfall framework
Scrum methodology
Enterprise platforms
Salary structure/compensation analysis
Calm under pressure
Compensation/benefits administration
Staff development
Client communication
Experience
Information Technology Manager
 
, 
03/2013
 
to 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
Managed a four-person local IT team, allocating resources to ongoing projects and enforcing deadlines.
Drove business KPIs through rapid iteration of customer-facing "
4,"product features.
Leveraged in-depth understanding of end-to-end customer experience to identify pain points and latent customer needs.
Collaborated with the global team to resolve IT support cases.
Build and maintain a staff of five & terminate for cause one employee.
Create and audit processes interlocking with other teams, adjust as required.
Manage travel and budget for staff on-site visits.
Ownership of SaaS customers in North America, Canada and Australia.
Defined project deliverables and monitored status of tasks.
Executed proof of concept implementations to validate product feasibility.
IT Administrator
 
, 
06/2011
 
to 
03/2013
 
Company Name
 
ï¼​ 
City
 
, 
State
Designed and delivered mission critical infrastructure to ensure the highest levels of availability, performance and"
4," security.
Maintained security, backup, and redundancy strategies.
Ownership of IT Infrastructure and Client/Server management (Chicago, Houston, Montreal and Sydney).
Collected, analyzed, and reported program metrics, including product technical performance measures and key performance parameters.
Manage North America production data center (SaaS) and disaster recovery applications.
Deploy and manage VMware architecture.
Monitor and created automatic actions related to hardware and web servers.
Engineered IT infrastructure for reliable WAN and LAN connectivity.
Active Directory and Group Policy configuration and deployment.
Provided client support for production.
SQL Administration.
Deployed over 30 NEC phones and support for NEC PBX.
Responsible for purchasing and product recommendations"
4,".
Network Administrator
 
, 
02/2010
 
to 
05/2011
 
Company Name
 
ï¼​ 
City
 
, 
State
Tested, configured and deployed Windows 7 operating system with Acronis Snap Deploy.
Deployed and tested Microsoft Exchange 2010 in VMware.
Administered SQL 2005 database to run Dentrix and DEXIS software.
Configuration and implementation of Group Policies.
Information Technology Consultant
 
, 
10/2008
 
to 
05/2011
 
Company Name
 
ï¼​ 
City
 
, 
State
Managed and provided security administrative support for Paine Wetzel ONCOR International, Northridge Group, Rent Here Realty, and
Northwestern Dental Center.
Supported Microsoft Windows 2003, XP, Vista and Mac operating systems.
Responsible for purchase decisions to provide the best end point security solutions.
Obtained Milestone Advanced Certified P"
4,"artner for video surveillance.
Network Administrator
 
, 
10/2008
 
to 
05/2011
 
Company Name
 
ï¼​ 
City
 
, 
State
Installed and configured LAN with Windows XP and Windows Vista clients.
Administration of Microsoft Active Directory.
Administration of Microsoft Exchange 2003 systems including backup and recovery.
Deploy Symantec endpoint security solutions and implemented disaster recovery.
Managed multiple desktop applications: Microsoft Office, Adobe Acrobat, ACT.
Administration of intranet.Network Administrator
 
, 
10/2008
 
to 
12/2009
 
Company Name
 
ï¼​ 
City
 
, 
State
Provided on-site technical support for Windows 2003 and 2008 servers, workstations, laptops, Blackberries, and iPhones.
Migrated to Exchange 2007 SCR from Exchange 2003 with PowerShell and DAS.
Managed Windows Ser"
4,"ver 2008 and Windows 7.
College of Education Computer Technician
 
, 
07/2006
 
to 
06/2008
 
Company Name
 
ï¼​ 
City
 
, 
State
Performed PC and Mac hardware and software configurations.
Troubleshot general Novell Client issues.
Installed and maintained peripherals.
Built images to be used with Symantec Ghost.
Education
Master of Science
 
:
 
Business Information Technology
 
,
 
2018
 
DePaul University
 
ï¼​ 
City
 
, 
State
Bachelor of Science
 
:
 
Network and Communications Management
 
,
 
2009
 
DeVry University
 
ï¼​ 
City
 
, 
State
Skills
Active Directory, administrative support, Adobe Acrobat, Architect, backup, budget, Client/Server, hardware, Concept, Client, clients, client
support, DAS, database, disaster recovery, Ghost, LAN, laptops, Mac hardware, Mac, Exchange, Microso"
4,"ft Exchange, Microsoft Exchange
2003, Microsoft Office, Windows 7, Windows, Microsoft Windows 2003, Windows XP, NEC, Novell, operating systems, operating system,
PBX, peripherals, Policies, processes, purchasing, servers, SLA, SQL, Symantec, technical support, phones, Video, Vista, web servers, WAN,
Windows Server"
5,"IT MANAGEMENT
Career Overview
Detail-oriented professional with extensive Information Technology experience in hardware and software troubleshooting/management. With
additional experience in networking, task automation, server technologies, digital graphic design, client + server side programming technologies and
popular industry software packages including Microsoft Office and Adobe Creative Suite.
Qualifications
Education and certificates 
Troubleshooting q 
CompTIA A+ certified (2012) 
q 
Advanced troubleshooting q 
CompTIA Net+ certification class 
q
Virus and spyware removal q 
MCSA certification class 
q 
Computer diagnostics and repair q 
Web Development I + II class 
q 
Gaming console
repair and q 
Digital media manipulation class 
modification q 
Java programming class 
q 
Mobile "
5,"device repair q 
Hardware support and
Programming and Web 
troubleshooting q 
HTML - HTML5 
q 
Optimizing and performance tuning q 
XML 
q 
Audio and video technologies q
CSS - CSS3 
q 
Medical technology installation and q 
JavaScript 
troubleshooting q 
Command Line q 
Java 
Management q 
ActionScript 
q
Hardware and software upgrade q 
PHP 
planning q 
Database servers 
q 
Documentation q 
Android mobile application 
q 
Organization
development 
q 
Multi-project priority management q 
Content Management Systems (CMS) 
Operating Systems q 
Website enhancement 
q
Windows 95 - 8 q 
Storyboarding 
q 
Windows Server 2003 - 8 q 
Search Engine Optimization (SEO) 
q 
Windows Phone 7.0 - 8.0 q 
Social
Media and marketing 
q 
Multiple Linux Distributions q 
Ubuntu 10.04 LTS - 12.10 Networking 
q "
5,"
Android 1.0 - 4.0.4 q 
Cloud computing 
q 
Mac
OS X v10.0 - v10.8 q 
Server management 
q 
IOS 1.0 - 6.1 q 
Active directory q 
Remote connection technologies 
Programs q 
Proficiency in
numerous protocols 
q 
Microsoft Office 2010 including TCP/IP 
q 
Small business management q 
Information security 
software (client and server)
q 
Wireless technologies 
q 
Adobe Creative Suite 5 q 
Telephony technologies q 
Wiring and Network engineering 
Graphics and Media q 
Photo
enhancing Electronics 
q 
Brochure and newsletter formatting q 
Electronic circuits and components 
q 
Audio and video editing q 
Circuit diagrams
and Prototyping 
q 
Logo and business card q 
Logic, electronic and computational algorithms q 
Electromagnetisms and waves q 
Quantum particle
mechanics 
q 
As well as many misc"
5,"ellaneous IT q 
Energy and electrical alternatives 
skills. (Solar)
Accomplishments
Rebuilt a client's website from the ground up and increased monthly hits from 3422 to 40884 in a matter of a few months.
Designed, priced, built, and installed a complete information system upgrade for a client; including networking devices, wiring, client
computers, server and software.
Diagrammed, prototyped, and assembled a portable USB phone charger outputting optimal voltage and amperage, with circuits and
components small enough to all fit in an Altoids tin.
It allows next to unlimited portable phone charging due to the device itself being recharged by a small solar panel on the top.
Automated and streamlined daily office tasks for client using Batch Scripting.
Troubleshot medical technology including"
5," X-ray machines and medical industry client and server software (Eaglesoft).
Information Technology project management experience.
Programmed a cloud storage website allowing a client access to a shared home network drive from any browser, anywhere.
It includes security login, uploading and downloading.
Work Experience
IT management
 
March 2012
 
to 
November 2012
 
Company Name
 
ï¼​ 
City
 
, 
State
In charge of planning, budgeting, and executing all IT projects.In addition to office troubleshooting, building/managing the company website
and designing/updating the business's electronic newsletter.
Information Technology Consultant
 
July 2011
 
to 
February 2012
 
Company Name
 
ï¼​ 
State
Contracted IT consulting work from client computer repair to network expansion.
May 2011
 
to 
Jul"
5,"y 2011
 
Company Name
 
ï¼​ 
City
 
, 
State
In charge of company website management, social media administration, as well as assisting in administrative tasks.
Education and Training
Associate of Science
 
: 
Information Technology
 
, 
2014
 
Lyons Township
 
ï¼​ 
City
 
, 
State
 
, 
United States
 
Information Technology
High School Diploma
 
General Education
Coursework in computer science all 4 years
 
GPA: 
Diamond Achievement Academic award * Honor Roll
 
Diamond Achievement Academic
award * Honor Roll
Skills
A+ certified, ActionScript, Active directory, administrative, Adobe Creative Suite 5, Photo, Audio, Brochure, budgeting, business management,
client and server, CMS, Hardware, computer repair, consulting, Content Management, CSS, CSS3, client, Database, designing, Documentatio"
5,"n,
Electronics, XML, Graphics, Hardware support, HTML, HTML5, PHP, Information security, Java, Java programming, JavaScript, Linux, Logic,
Logo, Mac OS, managing, marketing, Medical technology, Microsoft Office, office, Windows, Windows 95, Network engineering, network,
Networking, newsletter, Operating Systems, Organization development, Programming, protocols, Prototyping, Search Engine Optimization,
servers, Storyboarding, TCP/IP, Telephony, Phone 7.0, Troubleshooting, upgrade, video, video editing, Web Development I, Website, website
management, Windows Server, Wiring"
